Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
200,0.03341990491499553,-0.0790800187656665,-10.53463022237767
206.2354549186111,0.03277226982690093,-0.08386924568619217,-10.869087011148
212.6653143274322,0.0333216680946354,-0.09020172196727252,-11.21439346478687
219.295639228637,0.03306744113310316,-0.09620526563084919,-11.57214416611697
226.1326795899277,0.03291960186144662,-0.10223515597542,-11.93711179908124
233.1828802359663,0.03288072607252922,-0.1090123464065343,-12.3187483838147
240.4528869234826,0.03247397497537563,-0.1154207486409424,-12.70764841374198
247.9495526057888,0.03233400404036925,-0.1227583108936512,-13.10679425549776
255.6799438926047,0.03260353584795574,-0.1305795989664666,-13.5248073950595
263.6513477112815,0.03247783006289027,-0.1393631561040724,-13.95432954493455
271.8712781757051,0.0320672673911917,-0.1479691275937646,-14.40220461097963
280.3474836693541,0.03185115058513206,-0.1577155104388628,-14.86128791635443
289.0879541491855,0.03174191876867004,-0.1676099009355762,-15.336484425613
298.1009286772392,0.03164604384660404,-0.1789576256228396,-15.82939247072743
307.3949031870544,0.03128872244107633,-0.1904934452725251,-16.34087319922273
316.9786384922227,0.03097571988572537,-0.20314905874473,-16.86343350985614
326.8611685446275,0.0309839270067118,-0.215746031803773,-17.4108459081019
337.0518089501502,0.03115964683448099,-0.2304882629539423,-17.97277806152933
347.5601657498751,0.0303368895124221,-0.2449109387722687,-18.55531259804823
358.3961444750668,0.03011047165885343,-0.2611657654396283,-19.16502365296721
369.5699594844581,0.02978765058464465,-0.2788170261116377,-19.78421275927977
381.0921435926494,0.02961387180244306,-0.2965674787757299,-20.43348232859199
392.9735579986936,0.02970475692154592,-0.3165245498779165,-21.10568673793526
405.2254025242286,0.02930580527718938,-0.3377003675277369,-21.80566511725856
417.8592261708079,0.02873752711563257,-0.3599731864134303,-22.52575754202741
430.8869380063766,0.028491899694769,-0.3845133517719239,-23.27591751804039
444.3208183911623,0.02825068714402029,-0.4102716191825126,-24.05281195478676
458.1735305535545,0.0279063474644795,-0.4379553490998048,-24.8577063651813
472.4581325268924,0.02754712105812667,-0.4677819926015958,-25.69724565140527
487.1880894584054,0.02693171859380052,-0.4995761269451554,-26.56768037316627
502.3772863019159,0.02667270714346709,-0.5327869203203472,-27.47287138986908
518.0400409062648,0.02632813496353401,-0.569561180534466,-28.41764010274122
534.1911175117971,0.02571921536745142,-0.6088749995022789,-29.39554848230748
550.8457406676332,0.02554079165673191,-0.6518365302029588,-30.4146031742671
568.019609582843,0.0248136545760973,-0.6975122797156429,-31.4743594406126
585.7289129250474,0.02387214985148232,-0.7471765870954518,-32.58081390271002
603.9903440804032,0.02350663127418412,-0.8009863213184061,-33.73586752793385
622.821116889352,0.0228375753507641,-0.8605570375380694,-34.93879476416589
642.2389818729647,0.0224002446730869,-0.9243094826187715,-36.19815362779704
662.2622429651823,0.02195619404195487,-0.9939340307711488,-37.51245676047796
682.9097747667201,0.02129472293494663,-1.067968845358255,-38.88621803733741
704.2010403369038,0.02013118498653928,-1.149508077507527,-40.33186224401459
726.1561095402028,0.01910604123028706,-1.238854922534034,-41.84041865379584
748.7956779647621,0.01854559920982136,-1.336286789474867,-43.41882351232157
